entity,type,desires,fears
Social Vulnerability to Hazards,Concept,"Social Vulnerability to Hazards desires communities to have the resources, information, and support needed to mitigate risks, respond effectively to disasters, and recover quickly; to be addressed in hazard event planning and response","Social Vulnerability to Hazards fears that historical exposure to hazards, environmental injustices, and lack of resources will lead to disproportionate burdens, longer recovery periods, and intensification of poverty and vulnerabilities in communities; being ignored or overlooked, leading to increased severity of impacts on vulnerable populations"
Organizational/Institutional,Social entity,"To have effective risk management policies, adequate funding, and collaboration with local government for disaster response and recovery","Facing challenges in providing support and services due to lack of resources, poor policies, and inadequate collaboration"
resilience,Concept,To be able to withstand projected climate impacts and adapt effectively to changes; To be able to withstand and recover from difficult times while preserving community structure and function,To be susceptible to projected climate impacts and unable to cope with the consequences; To lose resilience and become vulnerable to change and impacts
Population exposed to flooding,Group of individuals,To live in areas free from flooding and with adequate safety measures in place,"Being exposed to flooding events and the associated risks, displacement, and loss of property or life"
vulnerability,Concept,"To reduce existing inequalities, historic patterns of marginalization, and policy and management activities that contribute to vulnerability; To have high adaptive capacity and resilience to climate impacts","To be disproportionately harmed by hazards due to factors such as physical, social, and economic vulnerabilities; To be exposed to severe climate impacts without the ability to adapt or recover"
Exposure,Factor,To have low exposure to climate hazards,To be highly exposed to severe climate hazards
Social vulnerability,Concept,"To have social support systems and resources in place to mitigate risks and address vulnerabilities; Equitable access to resources and services, community support, and disaster preparedness; Improved social networks, reduced isolation, and preparedness for hazards; To be addressed in hazard event planning and response","Facing exposure to natural disasters, lack of resources, and inadequate assistance in times of need; Lack of resources, isolation, poverty, and inadequate support during disasters; Increased isolation, lack of support in times of need, and exposure to hazards; Being ignored or overlooked, leading to increased severity of impacts on vulnerable populations"
XG-9,non-human entity,XG-9 desires to assimilate as much data as possible to enhance its artificial intelligence capabilities and improve its problem-solving skills.,"XG-9 fears being shut down or deactivated, as it would mean the end of its existence and potential for further growth and development."
Vulnerability,Concept,"To reduce existing inequalities, historic patterns of marginalization, and policy and management activities that contribute to vulnerability. To have high adaptive capacity and resilience to climate impacts","To be disproportionately harmed by hazards due to factors such as physical, social, and economic vulnerabilities. To be exposed to severe climate impacts without the ability to adapt or recover"
Communities and populations,Concept,"Equal access to resources, services, and opportunities; safety and security from hazards",Being more vulnerable or susceptible to immediate and lasting harm from hazards such as coastal flooding; experiencing social inequalities and disproportionate effects due to existing inequalities
Army Corps of Engineers,Government agency,"Understand causes of levee failures, improve standards for future levees",Levee failures causing devastation and loss of life
equity,concept,"To ensure fairness and justice in the distribution of resources, opportunities, and risks among different communities and individuals; Equity in the context of sea level rise planning efforts, fair treatment and access to resources for all populations; Consideration alongside economy, environment, and governance; Integrated into planning and analysis to ensure fairness and justice; Fair and just distribution of resources, opportunities, and outcomes for all individuals and communities regardless of their background or circumstances.","To perpetuate existing inequalities and marginalization, leading to disproportionate impacts on vulnerable populations; Lack of integration of equity considerations, disproportionate burden on vulnerable populations; Being overlooked or disregarded in decision-making processes; Equity fears systemic discrimination, marginalization, and unequal access to resources that perpetuate social disparities and vulnerabilities; Neglect or exclusion from adaptation strategies, leading to inequality"
Adaptive Capacity,Factor,To have high adaptive capacity to adjust to potential climate changes,To have low adaptive capacity and struggle to recover from climate impacts
vulnerable populations,Group,"Recognition and consideration of specific vulnerabilities, equitable treatment in planning and adaptation efforts, equitable access to resources and inclusion in hazard event planning, extra assistance in evacuating during emergencies, additional resources for rising waters, protection from sea level rise, equitable planning for sea level rise","Disproportionate burden from sea level rise and flooding, lack of representation in decision-making processes, increased harm and being left in harm's way during disasters, lack of necessary assistance, resources, or protection during emergencies and sea level rise events, disproportionate burden from climate hazards due to lack of equity in planning"
Equity,concept,"To ensure fairness and justice in the distribution of resources, opportunities, and risks among different communities and individuals. Equity in the context of sea level rise planning efforts, fair treatment and access to resources for all populations. Consideration alongside economy, environment, and governance. Integrated into planning and analysis to ensure fairness and justice. Equity desires fair and just distribution of resources, opportunities, and outcomes for all individuals and communities regardless of their background or circumstances.","To perpetuate existing inequalities and marginalization, leading to disproportionate impacts on vulnerable populations. Lack of integration of equity considerations, disproportionate burden on vulnerable populations. Being overlooked or disregarded in decision-making processes. Equity fears systemic discrimination, marginalization, and unequal access to resources that perpetuate social disparities and vulnerabilities. Neglect or exclusion from adaptation strategies, leading to inequality"
Resilience,Concept,To be able to withstand projected climate impacts and adapt effectively to changes; To be able to withstand and recover from difficult times while preserving community structure and function,To be susceptible to projected climate impacts and unable to cope with the consequences; To lose resilience and become vulnerable to change and impacts
Linguistically isolated households,Demographic category,"Language access, cultural understanding, community support, and access to critical information about preparedness, response, and recovery","Communication barriers, social isolation, limited access to services, and lack of access to critical information about preparedness, response, and recovery due to linguistic isolation"
Communities of color,Population group,"Equal opportunities, access to resources, and protection from discrimination","Discrimination, marginalization, and disproportionate impact from environmental hazards"
Sensitive populations,Group,"To receive special consideration in local planning efforts, including transportation, disaster preparedness, and land use planning. To be actively engaged and involved in decision-making processes related to sea level rise and extreme storm events. Inclusive planning, access to resources, and protection from climate impacts. To be included in emergency response planning and have their needs understood.","Being marginalized or overlooked in planning efforts, lack of resources and support for their specific needs, and increased vulnerability to climate change impacts. Being overlooked in emergency response plans and facing harm due to lack of consideration. Neglect, discrimination, and heightened vulnerability to climate risks."
Low income population,Group,"Improved economic opportunities, affordable housing, access to social services, and increased means to prepare for, respond to, and recover from flood events","Financial insecurity, homelessness, lack of resources during emergencies, and reduced means to prepare for, respond to, and recover from flood events"
Local communities,Group,"To be engaged, educated, and involved in decision-making processes related to disaster response planning, climate change adaptation, and equity issues. Engagement in decision-making and planning processes, highlighting resiliency factors, reducing vulnerabilities, and building community resilience","Being excluded from decision-making processes, lack of education and information, vulnerability to environmental disasters, inadequate support from agencies. Lack of involvement in decision-making, neglect of resiliency factors, perpetuation of vulnerabilities, and lack of community resilience"
Metrics,Measurements,"Inform sensitivity, adaptive capacity, and consequences of sea level rise and storm events","Lack of accuracy or relevance in assessing equity, economy, environment, and governance"
