entity,type,desires,fears
Card-Programmed Calculator,punched-card computing device,To be a successful product for scientific computing; Acceptance and utilization by engineering-oriented companies for solving difficult problems,"Being overshadowed by newer, more advanced commercial computers; Being overshadowed and replaced by more advanced computer designs like the UNIVAC"
Business Calculations,Process,Efficient and effective methods for processing data and making calculations,"Technological advancements rendering current methods obsolete, causing disruptions in operations"
IBM Corporation,Business-machine company,To develop a line of products that meet the information-handling needs of American businesses,Losing market share to competitors and failing to innovate in the rapidly evolving field of computing
IBM Model 702,Computer,To be successfully marketed to business customers,Not meeting the needs or expectations of customers
Fetch-decode-execute cycle,Concept,Sequential and linear flow through instructions stored in memory,Disruption of the fetch-decode-execute sequence
Aberdeen Relay Calculators,specialized punched-card machines,To be efficiently utilized for military calculations,Being unable to keep up with the complexity and speed of newer machines
John von Neumann,Computer Scientist,"To contribute significantly to the field of computing, have his ideas recognized and implemented, and promote the stored-program principle and his linear stream of instructions concept","Being overshadowed by other innovators or not being credited for his contributions, and losing influence in the development of computer architecture and programming principles"
Eckert and Mauchly,Computer pioneers and founders of the Eckert-Mauchly Computer Corporation,"To commercialize their invention, pioneer advancements in computer design, see society benefit from large numbers of computers, and be recognized for their innovative ideas","Underestimating the difficulties of commercializing their invention, being eclipsed in the market by competitors, having their contributions overlooked, or not receiving credit for their work"
Computer,Technology,"To continue evolving and adapting as a tool for intellectual augmentation and communication; Efficiently store and manipulate information; To be programmed and utilized to perform tasks efficiently; To successfully execute programs and provide accurate outputs; To be utilized for complex tasks and expand capabilities of users; To be recognized as capable of more than just number-crunching and missile defense systems; To be utilized to their full potential, to empower individuals through programming and problem-solving.; Efficiently process commands and tasks, including playing chess","Becoming obsolete or failing to meet the changing demands of users; Failure to perform tasks accurately or efficiently; Being damaged, misused, or not being able to fulfill its intended functions; Crashing or malfunctioning during program execution; To be misunderstood or underutilized, leading to missed opportunities for advancement; Being limited to only mundane tasks and not being seen as a potential field of study; Being underutilized or misunderstood by those who do not see their value or capabilities.; Encountering bugs or errors that disrupt operations or performance"
non-von Neumann architectures,Computer Design Principle,"To provide alternative computing architectures that challenge the traditional von Neumann Architecture, influence computer design for the past five decades, and maintain stable and efficient computer design","Being overshadowed by the established von Neumann Architecture and not gaining widespread acceptance, being replaced by alternative architectures in limited markets, and facing potential bottlenecks or inefficiencies in information processing"
Engineering Research Associates,Company,To maintain a talented group of engineers and successfully complete assigned tasks,Losing government contracts or facing serious problems related to its captive relationship with the Navy
Howard Aiken,Harvard mathematician and builder of the Mark I calculator,To accurately predict the future of electronic computers and make informed decisions,Being proven wrong and missing out on the potential benefits of electronic computers
EDVAC,Computer,Being recognized as an 'all-purpose machine' and better than punched card equipment for sorting data,Not being able to solve the expected problems efficiently
fledgling company,business entity,To secure funding and sell UNIVAC machines to various industries and government agencies,Failure to secure funding and lack of interest from potential customers
American Totalisator Company,business entity,To have a computer to calculate betting odds at race tracks,Not being able to acquire the necessary technology for their operations
701,computer model,"To be seen as a viable alternative to UNIVAC; To be utilized for high-performance computing tasks for defense, aerospace, and other specialized industries",Being perceived as inferior to UNIVAC; Becoming obsolete or being surpassed by competing models like UNIVAC
Electronic Digital Computers,Technology,Advancement and widespread adoption; Recognition as superior to traditional punched-card approaches,Obsolete or outdated technology; Lack of acceptance and being seen as inferior to older methods
General Electric,company,To modernize and automate its business operations using cutting-edge technology,Being left behind in the age of automation and losing competitiveness in the market
DSDB,non-human entity,To fulfill its programming and execute tasks efficiently,Being unable to perform its designated functions or being deactivated
Northrop Aircraft,business entity,"Develop an airborne control system for an unmanned, long-range bomber and efficient data processing for engineering purposes",Not finding suitable technology or partners for their project and inefficient data processing methods hindering their engineering work
Von Neumann Architecture,Computer Design Principle,Influence on computer design for the past five decades; Stable and efficient computer design; Provide alternative computing architectures that challenge the traditional von Neumann Architecture,Being replaced by alternative architectures in limited markets; Potential bottlenecks or inefficiencies in information processing; Being overshadowed by the established von Neumann Architecture and not gaining widespread acceptance
Moore School,Educational Institution,Recognition for contributions to computer design,Being unable to meet the demand for information
IBM,Company,"To maintain market dominance in electronic computation; To maintain market dominance in the field of electronic digital computers; Maintaining dominance in the mainframe computer industry; To shape and dominate the computer industry; Centralized control, batch processing, adherence to strict rules and procedures; Maintain dominance in the computer field through conservative approach and aggressive marketing","Losing market share to competitors like UNIVAC; Being overtaken by competitors like UNIVAC and losing market share; Losing market share to competitors; Losing market dominance or relevance in the computer industry; Hacking impulse, free exchange of information, decentralization; Loss of dominance or market share to competitors"
Electronic computers,Technology,Widespread adoption and recognition as superior to traditional punched-card approaches; Advancement and widespread adoption,Lack of acceptance and being seen as inferior to older methods; Obsolete or outdated technology
Census Bureau,Customer,Accurate solutions to problems without internal computer errors; Efficient tabulation and processing of census data; Modernizing data processing and collaborating with technological innovators; Timely completion of the census,Encountering incorrect solutions due to internal computer errors; Being sidelined for more urgent federal government projects; Limited contracting for machines still in development; Public backlash and errors in data collection
Von Neumann architecture,Computer Design Principle,Influence on computer design for the past five decades; Stable and efficient computer design; to provide alternative computing architectures that challenge the traditional von Neumann Architecture,Being replaced by alternative architectures in limited markets; Potential bottlenecks or inefficiencies in information processing; being overshadowed by the established von Neumann Architecture and not gaining widespread acceptance
Automation,business process,"To streamline operations, increase efficiency, and reduce manual labor through the application of feedback mechanisms and technology","Facing resistance from employees, technological failures, or disruptions in the automated processes"
XG-9,non-human entity,XG-9 desires to assimilate as much data as possible to enhance its artificial intelligence capabilities and improve its problem-solving skills.,"XG-9 fears being shut down or deactivated, as it would mean the end of its existence and potential for further growth and development."
Air Force,Organization,To efficiently maintain and supply air bases globally,Facing challenges in logistical and computational tasks
Punched-card machines,Technology,To be adapted and improved for post-World War II needs; Efficient processing of information,Becoming obsolete or replaced by more advanced technology; Becoming obsolete and replaced by newer technology
Large digital computers,Technology,To be efficiently used for business applications,Being outdated or replaced by more advanced technology
Remington Rand,Company,"To address limitations in printing speed, improve data processing applications, acquire ERA to expand capabilities in computer systems, and supply typewriters for document preparation and filing systems for information storage","Being unable to keep up with technological advancements in the industry, competition overtaking technology or market share, being surpassed by competitors in the market"
Programming (later Software),Concept,Recognition as important as hardware design,Being undervalued or overlooked
Tape storage,Data storage method,Reliable and accessible data storage,Data loss or corruption
Stored-program computer,Concept,Efficient operation and general capabilities; To function correctly with minimal instructions; Successfully convert numerical data into musical compositions,Being difficult to operate and inefficient; Crashing or encountering errors due to misplaced instructions; Being misunderstood or underappreciated by outsiders
