entity,type,desires,fears
hotel property,entity,To receive positive reviews and high ratings from customers,To receive negative reviews and low ratings from customers
data analysts,professional entity,To gather and analyze data for research purposes,To encounter incomplete or inaccurate data that may affect the study's validity
Hotel,Business,"To have positive authentic reviews that accurately reflect their service and quality, attract more customers, and maintain high overall ratings and positive specific ratings in service and rooms","Receiving negative or fake ratings that can harm their reputation, being associated with review fraud, being flagged as suspicious for fake reviews, and receiving negative reviews impacting their reputation and business"
Reputation management companies,Industry,Craft highly believable fake reviews to manipulate online reputation,"Regulation, exposure, and loss of credibility in the industry"
Non-fake Reviews,Content,To accurately reflect the reviewer's experience and help others make informed decisions; To provide honest feedback and information to readers,"Being dismissed as fake or unreliable; Being identified as fake and losing credibility; Being detected and exposed, leading to loss of credibility; Being identified as deceptive and damaging the reputation of the product or service; Being detected and removed, leading to a loss of influence and potential consequences for the authors; Being mistaken for fake review writers or not having their honest reviews valued"
Non-suspicious Reviewers,Individuals,To share genuine experiences and help others; To potentially benefit themselves or the reviewed entity,Being associated with suspicious behavior or deceptive practices; Being exposed as suspicious or fraudulent
XG-9,non-human entity,XG-9 desires to assimilate as much data as possible to enhance its artificial intelligence capabilities and improve its problem-solving skills.,"XG-9 fears being shut down or deactivated, as it would mean the end of its existence and potential for further growth and development."
Fake Reviews,Content,To appear genuine and deceive readers; To deceive consumers and potentially benefit the reviewed entity; To deceive users and manipulate perceptions; To mislead consumers and potentially increase sales; To deceive readers and potentially gain rewards or business advantages; To accurately reflect the reviewer's experience and help others make informed decisions,"Being identified as fake and losing credibility; being detected and exposed, leading to loss of credibility; Being identified as deceptive and damaging the reputation of the product or service; Being detected and removed, leading to a loss of influence and potential consequences for the authors; Being dismissed as fake or unreliable"
review websites,platform entity,To provide accurate and reliable information to customers,To have fraudulent or misleading reviews affecting their credibility
Websites,Platforms,To maintain credibility and trust among users,"Allowing fake reviews to influence user decisions, leading to a loss of trust and reputation"
Property,Entity,To maintain positive reviews across different platforms,To be targeted by a boosting or vandalism campaign resulting in negative reviews
