entity,type,desires,fears
Faculty,Educators,"To uphold academic integrity, educate students, address cheating issues directly, have clear guidelines and support, maintain high standards, discourage cheating, and prioritize learning over grades.","Being unable to effectively address and prevent academic dishonesty, getting involved in unnecessary bureaucracy and legalisms, leading to a culture of cheating, lacking support from administrators, students prioritizing grades over learning, feeling like police rather than teachers, eroding moral standards in society, being perceived as unconcerned or unobservant, and academic dishonesty undermining the institution's credibility."
Parents and teachers,Authority figures,To guide students towards academic excellence through honest means and instill values of integrity in them,"Being blamed for students' academic dishonesty, erosion of trust, and inability to prevent cheating despite efforts to promote honesty"
Zeta-7,non-human entity,Zeta-7 desires to establish communication with other extraterrestrial civilizations to exchange knowledge and learn about different forms of life in the universe.,"Zeta-7 fears being misunderstood or attacked by humans or other sentient beings, leading to conflict and potential destruction of its mission."
Campus constituencies,Groups,To address the issue of cheating effectively and improve academic integrity,Being blamed for the prevalence of cheating on campus
Situational forces,Influencing factors,To create an environment where cheating is not the norm,Being cited as the reason for students engaging in academic dishonesty
university academic integrity,concept,Upholding traditional ethical norms and values in university life through soft binding means,Erosion of ethical standards and values among students leading to widespread cheating and academic misconduct
XG-9,non-human entity,XG-9 desires to assimilate data to enhance its AI capabilities and problem-solving skills.,"XG-9 fears being shut down, ending its existence and potential for growth."
Undergraduates,Student population,To succeed academically without the need for cheating; To achieve high grades in college; To excel academically and be recognized for their achievements,Getting caught and facing consequences for academic dishonesty; Being caught engaging in academic dishonesty; Being pressured to cheat in order to meet academic expectations and facing social repercussions for not participating in cheating practices
Academic Integrity,Concept,"To maintain and promote honesty, respect, responsibility, and legality in academic environments; To promote a culture of integrity and trust among students and faculty","Being undermined by plagiarism, cheating, or unethical behavior; The lack of integrity leading to plagiarism, cheating, and academic dishonesty; Not being effective in deterring cheating, leading to discontent among faculty and students missing out on learning opportunities"
Administrators,Agent,"To devote more time and resources to proactive strategies, promote integrity on campus, have faculty actively enforce academic integrity policies, be fair in handling cheating cases, and maintain the institution's reputation","To not effectively address cheating issues, have a high level of cheating on campus, faculty shirking their responsibilities, favoritism towards certain students, and students prioritizing grades over ethical behavior"
