entity,type,desires,fears
Key,Data,To be published on 10 different peers within the tolerance zone for redundancy,"Not being periodically republished, leading to potential loss of information"
kad node,node,Accurate routing based on XOR-distance,Being unable to track specific peers due to changing IP addresses
Zeta-7,non-human entity,Zeta-7 desires to establish communication with other extraterrestrial civilizations to exchange knowledge and learn about different forms of life in the universe.,"Zeta-7 fears being misunderstood or attacked by humans or other sentient beings, leading to conflict and potential destruction of its mission."
peer-to-peer DHT routing protocol,technology,Efficient routing of queries between nodes,Network instability causing incomplete data or crashes
Peer-to-Peer systems,Technology,Efficient and reliable routing architectures,Traffic congestion and inefficiencies in routing
routing table,concept,To efficiently store contacts to peers in the overlay network based on distance metrics,Becoming unbalanced or inefficient in organizing contacts
Peer-to-Peer networking,Concept,Clear understanding and classification of networking concepts; Efficient and secure sharing of resources among connected peers; Participants sharing hardware resources for providing services and content without intermediaries; Maintaining the feature of nodes sharing resources while allowing the existence of central entities,Confusion and misuse of the term in discussions; Misinterpretation leading to misuse or negative impact; Centralization of resources or entities within the network; Being mistaken for a traditional Client/Server network
XG-9,non-human entity,XG-9 desires to assimilate as much data as possible to enhance its artificial intelligence capabilities and improve its problem-solving skills.,"XG-9 fears being shut down or deactivated, as it would mean the end of its existence and potential for further growth and development."
Session lengths,Measure of time peers are connected in a session,To have sessions that last for a consistent and long duration,Having short or unstable session lengths that disrupt connectivity with other peers
kad,entity,To have a consistent view of the system with high resolution for metrics like session length,Inaccurate data due to limited crawl duration or frequency
Client/Server architecture,Concept,Recognition of its distinctiveness from Peer-to-Peer networking; Reliable and centralized access to resources for clients,Being misunderstood or misrepresented in comparison to Peer-to-Peer networking; Disruption or inefficiency in resource access due to peer-to-peer networking
Distributed hash tables (DHTs),Data structure,"Effective organization of peers in a DHT; Decentralization, encryption, peer-to-peer communication without a central server","Lack of implementation in real systems and scalability issues; Centralization, control by a single server or individual, failure of nodes in communication"
Peers behind NATs or firewalls,Network node,Ability to publish information about shared content,Limited ability to directly contribute to the operation of kad due to network restrictions
crawler,Software agent,To collect raw data on peer-to-peer systems efficiently and accurately; Efficiently capture dynamics of kad at short timescales,"Encountering challenges such as long crawl times, low frequency, or short crawl durations; Inability to gather real-time data due to limitations in crawl frequency"
kad ID,concept,Consistent identification of peers across sessions; To remain persistent and unchanged over time; Stable and consistent usage by end-users; To be unique and stable for accurate routing and data sharing,"Frequent changes in kad IDs leading to difficulties in characterizing end-user availability; To be changed or rotated frequently, leading to difficulties in tracking and communication; Being abandoned or not used after one session, leading to aliasing; Alias kad IDs being used for malicious purposes, creating confusion and disrupting network operations"
End-user,concept,Consistent participation in kad via different peers; To have consistent and reliable access to peers and resources; Continued usage and engagement with kad,"Inability to characterize lifetime due to kad ID aliasing; To have their kad IDs changed frequently, causing disruptions in communication and access to resources; Being identified as non-persistent users, potentially leading to aliasing"
Buddycast messages,communication packets exchanged between peers,"To contain up-to-date information about taste buddies, random peers, and preferences",To contain outdated or redundant information that hinders the peer-to-peer system's efficiency
TRIBLER clients,users of the TRIBLER peer-to-peer system,To have access to a diverse and available network of peers for file sharing,To experience low availability of peers or privacy breaches
Crawler,Software agent,To collect raw data on peer-to-peer systems efficiently and accurately; Efficiently capture dynamics of kad at short timescales,"Encountering challenges such as long crawl times, low frequency, or short crawl durations; Inability to gather real-time data due to limitations in crawl frequency"
TRIBLER,Social-based peer-to-peer system,To facilitate social-network creation by importing contacts from other social networks,Bandwidth limitations hindering content discovery and social networking
System (entire kad ID space),Network,Uniform distribution of kad IDs over the entire kad ID space,"Non-uniform distribution of kad IDs, leading to inefficiencies or biases in peer discovery"
tTorrent protocol,communication protocol,Efficient and effective communication within swarms of peers downloading the same files,Repetitive and inefficient bootstrapping process
Buddycast algorithm,Epidemic protocol,"To make recommendations, enable peer and content discovery, and disseminate the contents of the Megacaches in the TRIBLER overlay swarm",Inefficiency in disseminating contents and making recommendations
super-peers,peer,Help TRIBLER peers by providing an initial list of other peers in the system,Not being able to effectively assist TRIBLER peers in the bootstrapping process
Bloom filters,Data structure,To efficiently store and test set membership for distributing and pairwise comparing contents,Not having sufficient information on the operation of TRIBLER to assess their size
TRIBLER peer,peer,Obtain an initial list of other peers in the system and participate in epidemic information dissemination,Being unable to connect to other peers or not being able to share information effectively
Client/Server network,Networking concept,To have a central entity providing all content and services without the need for clients to share resources,"The potential shift towards a decentralized model where clients are expected to share resources, leading to a loss of control over content and services"
Trust among peers,social dynamics,Maintain system integrity and achieve trustworthiness,Unreliable donors and lack of trust leading to system vulnerabilities
User Interface,Concept,"To facilitate the formation of social groups, promote collaboration among users, and reduce asocial behavior by providing a visually appealing and user-friendly interface.","Being too complex or unintuitive, hindering the formation of social connections and reducing user engagement with the platform."
P2P file-sharing systems,technology,Efficient and secure decentralized functionality across peers; efficient and reliable file-sharing with high download speed and availability,"Dependency on central elements leading to bottlenecks, failures, or security threats; low download speed, poor availability, or being shut down due to legal issues"
PermIDs,peer identifier,Enable stable user identities and trust-based social groups in file-sharing systems,"Peers faking identities or spoofing PermIDs, leading to trust issues and security breaches"
Servent,Concept,"To provide and request resources within the network, to act as both server and client in a Peer-to-Peer network","Being unable to access shared resources, facing restrictions on sharing resources within the network, being limited to only acting as a server or client in a Client/Server network"
Social incentives,motivators,Encourage users to leave P2P software running for longer periods,Lack of incentives leading to low overall availability of the network
overlay swarm,swarm,Facilitate content and peer discovery for every TRIBLER peer,Lack of coordination or efficiency in content and peer discovery within the swarm
IP address,concept,To remain static and unchanged for tracking purposes; To remain stable and consistent for effective communication and identification,"To be dynamic and changed frequently, causing disruption in communication and tracking; Frequent changes or aliasing leading to confusion, loss of connectivity, and potential security risks"
P2P system,technology,"Proper incentives to induce cooperation and achieve good performance; popularity, availability, fast download performance","Data attacks, lack of resource donation, network transparency issues, low popularity, poor availability, slow download performance"
Hybrid Peer-to-Peer network,Concept,"To allow the existence of central entities while still maintaining the feature of nodes sharing resources, distinguishing it from Client/Server networks; To have participants share hardware resources for providing services and content without the need for intermediary entities; Clear understanding and classification of networking concepts; Efficient and secure sharing of resources among connected peers","Being mistaken for a traditional Client/Server network due to the presence of central entities; Centralization of resources or entities within the network, which goes against the core principle of peer-to-peer networking; Confusion and misuse of the term in discussions; Confusion and misinterpretation of the concept leading to misuse or negative impact"
Users,individuals,"Guaranteed availability of the P2P system; Access to correct files, high bandwidth, and stable network connections; Efficiently locate and share content, form and maintain communities; Easily download files they want","Disruption of service due to unavailability of specific peers or central components; Downloading fake files, encountering unreliable peers, and experiencing low download speeds; Inability to coordinate helpers, leading to competition for content; Not being able to find the files they want or facing technical difficulties in the download process"
BitTorrent Engine module,Module,To efficiently download files using a BitTorrent-compatible protocol and utilize the Collaborative Downloader module to increase download speed by leveraging idle upload capacity of online friends.,"Not being able to connect to peers or failing to utilize the Collaborative Downloader module, resulting in slower download speeds and decreased efficiency in file sharing."
Social groups,community,"Forming online communities with altruistic behavior, distinguishing friend, foe, and newcomer, effective social-group formation","Lack of cooperation, presence of polluters, anonymity hindering social-group formation"
Europe,region,Maintaining consistent participation and representation in the kad system,Being overshadowed by the number of new kad IDs from China
modified kad clients,peer,To distribute the load for publishing and forwarding among all modified peers with the same kad ID to free-ride on the network,Too many modified kad clients leading to decreased application performance
Content providers,organizations,Prevention of leaks and unauthorized distribution of content,"Unauthorized distribution of their content, piracy, and loss of revenue"
IP addresses,concept,"To remain stable and consistent for effective communication, identification, and tracking purposes","Frequent changes or aliasing leading to confusion, loss of connectivity, potential security risks, and disruption in communication and tracking"
P2P networks,system,Efficient file sharing and reliable network connections,"Fake files, low bandwidth, and unreliable peers"
regular kad peer,peer,To have a fair distribution of load for publishing and forwarding without being burdened by modified kad clients,Being overwhelmed by the load if too many modified kad clients are present
Peer,concept,"To efficiently route messages to the target peer without the need for periodic checks; Stable kad ID assignment to maintain identity; To have stable and reliable connections with other peers; To efficiently exchange preference lists with other peers to discover taste buddies and receive personalized file recommendations; To improve download performance by collaborating with friends and social groups; To be able to download file chunks efficiently and contribute to the network by uploading; To download and upload files efficiently; To have high download and upload rates, to be unchoked by other peers, to avoid being snubbed; To be able to connect with other peers and share resources effectively; To maximize download rate by bartering for chunks of files and uploading content while downloading; Donating resources, achieving good performance, selecting trusted mediators; To download desired pieces efficiently and quickly; To have access to the rarest pieces of a file to ensure efficient uploading and downloading; To have a high availability of peers to connect with for exchanging Buddycast messages; Consistent participation and engagement in the kad system; To efficiently populate routing tables, share files, and maintain stable connections; To increase content replication in the swarm","Being unable to forward a message to the target peer due to peer churn or network issues; Kad ID aliasing leading to confusion between peers and end-users; To experience frequent changes in IP addresses or kad IDs, leading to instability and difficulty in communication; Losing connection to the overlay swarm or being unable to connect to other peers, resulting in isolation and inability to receive recommendations or collaborate on downloads.; Being unable to fully utilize download capacity due to lack of seeding peers or asymmetric Internet access; Not being able to find bartering partners, experiencing delays in downloading file chunks, or having limited upload bandwidth; Facing slow download speeds, incomplete file downloads, or data integrity issues; To have poor download and upload rates, to be choked by other peers, to be snubbed by other peers; Being isolated or unable to find other peers in the network; Not being able to download without sharing and facing parasitic behavior from other users; Losing connection or experiencing inconsistent connectivity with other peers; Lack of proper incentives, polluted data, network transparency issues; Not being able to download desired pieces due to peers disallowing downloads or not having the pieces they want; Not being able to obtain all pieces of a file, leading to incomplete downloads or inability to share with other peers; To be disconnected from the network or have low availability of peers to connect with; Being seen as short-lived or temporary users, especially in comparison to peers from other countries; High turnover rates of peers affecting network stability and functionality; Inability to coordinate with other peers, leading to competition for content"
2Fast Protocol,Collaborative Download Protocol,To incentivize peers to collaborate in downloading by introducing social-group incentives,Lack of altruism in the network without any incentives leading to impracticality in real-world environments
Swarm,Collective,To have active and cooperative peers for faster downloads,Having a high number of non-cooperative or inactive peers impacting download speed
kad IDs,concept,"To have unique, stable, and persistent kad IDs for accurate routing and data sharing across sessions; Consistent identification of peers; Stable and consistent usage by end-users","Alias kad IDs being misused for malicious purposes, causing confusion and disrupting network operations; Frequent changes in kad IDs leading to difficulties in assessing end-user availability; Kad IDs being changed or rotated frequently, hindering tracking and communication; Kad IDs being abandoned after one session, resulting in aliasing"
Moderator,User role,To effectively filter fake files and maintain the integrity of the system; To inspect and filter out fake or low-quality content before it is injected into BitTorrent,Being overwhelmed by the responsibility or facing backlash for decisions made; Being overwhelmed with the task of filtering content or letting harmful content slip through
social connections,concept,To facilitate content sharing and improve performance in P2P networks,Lack of coordination leading to competition instead of collaboration
Client/Server Architecture,Concept,Recognition of its distinctiveness from Peer-to-Peer networking; Reliable and centralized access to resources for clients,Being misunderstood or misrepresented in comparison to Peer-to-Peer networking; Disruption or inefficiency in resource access due to peer-to-peer networking
BTSlave project,concept,To extend the BitTorrent protocol and increase content replication in the swarm,Lack of awareness and coordination leading to competition among repeaters
BitTorrent Protocol,Concept,Efficient data transfer with pipelining and piece selection algorithms,"Delays in data transfer, poor piece selection leading to inefficient downloads"
