entity,type,desires,fears
urban management,concept,Optimal use of factors to achieve sustainable development in the city center,Inability to integrate sustainability principles into urban management
Agroforestry system,Land-use practice,Meeting socio-economic and environmental needs,Negative impacts on local community or ecosystem
European countries,Political entities,Efficient land use and achieving sustainable development goals,Inefficient land use and failure to meet sustainability goals
culinary tourist,actor,"Meaningful food and beverage experiences, connection with regional produce, history, and country living","Having unfulfilling or generic culinary experiences, lack of authenticity in food and beverage offerings"
Tourism authorities,Stakeholders,"To promote gastronomic trails as tourist attractions, enhance the local economy, and attract visitors interested in food and beverage experiences.","Lack of interest from tourists, negative reviews impacting the reputation of the trails, or competition from other destinations."
Campuses,Development,Optimal zone and types of scheduled LID for sustainable development,Environmental threat due to impact of runoff
Coastal community,Social entity,To be environmentally-focused and have collaborative and transparent land-use planning,Environmental degradation and lack of community involvement in planning processes
Land use,Concept,Reduction of peak discharges and sustainable water management; Proper spatial development of the environment and controlled expansion of cities to avoid urban sprawl; Implementation of low impact development (LID) for environmental sustainability; Effective and sustainable management for development; Sustainable land management practices and effective land planning,"Under-examined understanding in tropical urban environments; Uncontrolled expansion of large cities and urban sprawl in environmentally sensitive areas; Failure to prioritize environmental sustainability in campus development; Destructive practices leading to environmental degradation; Uncontrolled urban sprawl, land degradation, and loss of natural habitats"
SDGs (Sustainable Development Goals),Concept,"Successful implementation of sustainable resource management and synergies with land consumption rate (LCR) and population growth rate (PGR to facilitate SDG implementation, especially in developing economic zones","Failure to address environmental deterioration and societal needs, lack of consideration for both LCR and PGR together (LCRPGR) leading to less impact on SDG implementations"
natural ecosystems,concept,Proper maintenance and preservation of wetlands and water bodies,Continuous deterioration of wetlands and water bodies due to lack of priority
Land systems,Geographical systems,Equitable management of trade-offs between planetary boundaries and human development needs,"Failure to address sustainability challenges and maintain balance, Failure to manage trade-offs leading to unsustainable land use practices and environmental harm"
Tourists,Actor,"To explore diverse food and beverage offerings, experience local culture, engage in gastronomic activities, have enjoyable experiences, discover new gastronomic delights, enjoy the trail experience, learn about the gastronomic offerings, create memories","Limited availability of information about gastronomic trails, lack of authenticity in experiences, health and safety concerns related to food consumption, getting lost, having negative experiences, not finding suitable accommodations, disappointing experiences, safety concerns, lack of access to desired activities"
Geospatial technologies,Technology,Facilitate coordination in land-use planning activities,Lack of collaboration between different entities involved in the planning process
Marine receiving environments,Natural environment,"To maintain ecological significance, minimize land-use impacts, and preserve biodiversity",Degradation of marine ecosystems and loss of biodiversity
Transit Oriented Development (TOD),Urban planning concept,"To integrate land-use, transportation, and environment effectively for sustainable urban growth","Uncontrolled urban sprawl, increased traffic congestion, and environmental degradation"
Recreational trails,Physical infrastructure,Well-maintained and optimized trails that minimize environmental impact,Poorly managed trails that harm the natural environment and ecosystem
